perl-file-listing 6.04-7
perl-file-which 1.23-3
perl-html-parser 3.72-9
perl-html-tagset 3.20-9
perl-http-cookies 6.08-2
perl-http-daemon 6.06-1
perl-http-date 6.05-2
perl-http-message 6.24-1
perl-http-negotiate 6.01-7
perl-image-exiftool 11.85-2
perl-io-html 1.001-6
perl-libwww 6.44-1
perl-lwp-mediatypes 6.02-7
perl-mailtools 2.21-3
perl-net-http 6.19-3
perl-path-tiny 0.112-1
perl-timedate 2.33-1
perl-try-tiny 0.30-4
perl-uri 1.76-3
perl-www-robotrules 6.02-7
perl-xml-libxml 2.0205-1
perl-xml-namespacesupport 1.12-4
perl-xml-parser 2.46-1
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
perl-xml-writer 0.625-5
pinentry 1.1.0-5
pipewire 0.3.5-1
pixman 0.40.0-1
pkcs11-helper 1.26.0-1
polkit 0.116-5.1
polkit-gnome 0.105-4
polkit-qt5 0.113.0-2
poppler 0.88.0-1
poppler-glib 0.88.0-1
popt 1.16-12
portaudio 1:19.6.0-6
powertop 2.12-1
ppp 2.4.7-7
pptpclient 1.10.0-2
procps-ng 3.3.16-2
protobuf 3.11.4-1
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 13.0-3
pulseaudio-ctl 1.67-1
pulseaudio-equalizer 13.0-3
pulseaudio-jack 13.0-3
pulseaudio-lirc 13.0-3
pulseaudio-zeroconf 13.0-3
pygobject-devel 3.36.1-1
python 3.8.3-1
python-appdirs 1.4.4-1
python-asn1crypto 1.3.0-1
python-attrs 19.3.0-4
python-bcrypt 3.1.7-3
python-beautifulsoup4 4.9.1-1
python-cachecontrol 0.12.6-1
python-cachetools 4.1.0-1
python-cairo 1.19.1-1
python-cffi 1.14.0-3
python-chardet 3.0.4-5
python-colorama 0.4.3-1
python-contextlib2 0.6.0.post1-1
python-cryptography 2.9.2-1
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-distlib 0.3.0-1
python-distro 1.5.0-1
python-docopt 0.6.2-7
python-ewmh 0.1.6-2
python-fasteners 0.15-3
python-future 0.18.2-2
python-gobject 3.36.1-1
python-google-api-core 1.16.0-1
python-google-api-python-client 1.8.3-1
python-google-auth 1.16.0-1
python-google-auth-httplib2 0.0.3-5
python-googleapis-common-protos 1.51.0-1
python-html5lib 1.0.1-7
python-httplib2 0.17.4-1
python-idna 2.9-1
python-monotonic 1.5-4
python-msgpack 1.0.0-1
python-nautilus 1.2.3-3
python-npyscreen 4.10.5-4
python-oauth2client 4.1.3-4
python-ordered-set 3.1.1-2
python-packaging 20.4-1
python-paramiko 2.7.1-2
python-pep517 0.8.2-1
python-pillow 6.2.1-1
python-pip 20.0.2-1
python-ply 3.11-5
python-progress 1.5-3
python-protobuf 3.11.4-1
python-psutil 5.7.0-1
python-pyasn1 0.4.8-2
python-pyasn1-modules 0.2.8-1
python-pycparser 2.20-1
python-pydrive 1.3.1-3
python-pynacl 1.3.0-4
python-pyparsing 2.4.7-1
python-pyqt5 5.14.2-1
python-pyqt5-sip 12.7.2-1
python-pysmbc 1.0.20-1
python-pytoml 0.1.21-3
python-pytz 2020.1-1
python-pyxdg 0.26-6
python-reportlab 3.5.42-1
python-requests 2.23.0-1
python-retrying 1.3.3-7
python-rsa 4.0-4
python-setproctitle 1.1.10-5
python-setuptools 1:47.1.1-1
python-sip 4.19.22-1
python-six 1.15.0-1
python-soupsieve 1.9.5-2
python-toml 0.10.1-1
python-ueberzug 18.1.5-2
python-uritemplate 3.0.1-1
python-urllib3 1.25.9-1
python-webencodings 0.5.1-4
python-wheel 0.34.2-2
python-xlib 0.27-1
python-yaml 5.3.1-1
python2 2.7.18-1
python2-dbus 1.2.16-1
python2-gobject 3.36.1-1
python2-gobject2 2.28.7-5
qgnomeplatform 0.6.1-1
qpdf 10.0.1-1
qt5-base 5.14.2-3
qt5-declarative 5.14.2-1
qt5-svg 5.14.2-1
qt5-wayland 5.14.2-1
qt5-x11extras 5.14.2-1
ranger 1.9.3.4.gd8c363c9-1
raptor 2.0.15-13
readline 8.0.004-1
reiserfsprogs 3.6.27-3
rest 0.8.1-3
rpcbind 1.2.5-3
rsync 3.1.3-3
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
run-parts 4.8.6.1-2
rygel 0.38.3-2
s-nail 14.9.19-1
sane 1.0.30-1
sbc 1.4-2
sdl 1.2.15-14
